6thsolution/EasyMVP
AsyncHttpClient/async-http-client
Atmosphere/atmosphere
AxonFramework/AxonFramework
BoltsFramework/Bolts-Android
BroadleafCommerce/BroadleafCommerce
Bukkit/Bukkit
FasterXML/jackson-core
FasterXML/jackson-databind
JakeWharton/timber
KeepSafe/ReLinker
Netflix/Hystrix
Netflix/servo
PhilJay/MPAndroidChart
Pi4J/pi4j
ReactiveX/RxJava
RoboBinding/RoboBinding
Sable/soot
SpongePowered/SpongeAPI
SpongePowered/SpongeForge
WritingMinds/ffmpeg-android-java
aol/micro-server
atomix/atomix
ben-manes/caffeine
bitcoinj/bitcoinj
bumptech/glide
cbeust/jcommander
cbeust/testng
cmusphinx/sphinx4
code4craft/webmagic
coobird/thumbnailator
diogobernardino/WilliamChart
dlew/joda-time-android
dropwizard/dropwizard
evernote/android-job
facebook/fresco
facebook/rebound
google/guava
google/guice
google/truth
googlemaps/android-maps-utils
gorbin/ASNE
grails/grails-core
h2oai/h2o-3
jOOQ/jOOL
jOOQ/jOOR
jacoco/jacoco
javaslang/javaslang
jdbi/jdbi
joel-costigliola/assertj-core
junit-team/junit4
kevinsawicki/http-request
libgdx/libgdx
linkedin/datafu
linkedin/gobblin
loopj/android-async-http
mockito/mockito
netty/netty
ninjaframework/ninja
nutzam/nutz
oblac/jodd
orbit/orbit
pac4j/pac4j
perwendel/spark
powermock/powermock
pwittchen/ReactiveNetwork
qos-ch/logback
redisson/redisson
rkalla/imgscalr
robolectric/robolectric
sockeqwe/mosby
socketio/socket.io-client-java
spockframework/spock
spotify/apollo
spring-projects/spring-batch
spring-projects/spring-data-mongodb
spring-projects/spring-framework
spring-projects/spring-hateoas
square/javapoet
square/moshi
square/okio
square/picasso
stephanenicolas/robospice
survivingwithandroid/WeatherLib
swaldman/c3p0
timmolter/XChange
tumblr/Backboard
typesafehub/config
vaadin/framework
yusuke/twitter4j
